Fecha,Título,Enlace,Fuente,Término,Sentimiento,Palabras Clave,Dominio Limpio
11/12/2025,"Wilson Ruiz dio un paso al costado en su aspiración presidencial y adhirió a Abelardo de la Espriella, al que espera apoyar desde el Senado",https://news.google.com/rss/articles/CBMikAJBVV95cUxNZ1ktTlJsMEtZQVdKTXlubWhobFFBU2tuX2ZabWtFZHpIUkoydGF0aGJnRDRxZXh3OW5HaTNSNm91Um5tM0ZTZFN3UjhqNE1zOGthaVZJNlVqd1huLXI1ODdhYWFxcnF3NDJ3RFpxRGduWHdiTk5EZFloUzZDSWlYWVN5SE5kS1psMVlvY0w2M2E3Rll3ZmR4VExyOWFpTVY0eVZrUUtFWnNDQzNrUmdXQU9vVjVsemxEU2t6YWNwTnBtNGdEVlkzTVVGRms1aWZidDYzbzJ6SVNkRm5sZENhVUJnaFlpZ1g0Ui1mcVJ4bXlXSmhzU3FvU0ZkR0M1ZjVwRC0xMUFPV0xjeW5kMGdRRdIBqwJBVV95cUxPSmctTjNweExyZl8wdHh4Q2dsQWwzdl8zZFUzc01CdG5Cc3c1VlZQQzhVZ2FyY2FkSG5kNl9NUGZjcU4xaVVwX2ZHRmlJX0xUNWFJcWFtUU5sTzR2VDVuYXVydFpJRHZ0X21hRk95c3Z3QTJ0SGdyNkRob0xPaU5rNVg0aUx6LWN5VFBDQUxwbEhLSzg3a0t3bmwzbWtJVktFYmdERVI5V2RBSjlCTFQxS3M3XzVPT0hsSE5aQmQ2bzh1cFJNRUZGeGZUYXpRX0ttazlFYlNrQnRmWjd3SGNycFl0Vk91YTJWZDNGNGZYVHkxU1lCVVZ6ODM1V2NDMXhQcThXV0NZZUJveXp3d3pWbmYta2RUMU9ITGZCdHlPV0tHVmJwaGN6ZkxPSQ?oc=5,infobae.com,Abelardo de la Espriella,Positiva,,infobae.com
11/12/2025,En Bolívar Stephanny Galeano encabezará lista a la Cámara por el partido Alianza Verde,https://news.google.com/rss/articles/CBMivgFBVV95cUxOdHZDeFhwX1F3ZV9ZRmZiNHN2UUxuSm5hZHlxRW81M0ZzQXFMSHNuU0xwWDdBSHVDRjhJV09zNFF2WmVIZnFaNjI2SlZFOVNTSVFxQ0JjX01xNFZESjZ0RDNYVWVFZVBpNnNqSHBaT281QkFnVE4zM1o3MUU0eFZJS3NEUER2WXBxRnZ0UEcwMWtsQ2Q0VWFzM2pvVUdaVno3Z0xPMkwyNXh6dGczMjFveVN0eFR3cVdmY1Y3U2l30gHSAUFVX3lxTE0yTUdJckNhMm8tTnVwZXg3RWRtT05ZdUxRSHpoYUxVQ2FaaVk0SFY1Z0k5VXZ1SnQxNUdzdlZ1dE5BSEJIS040REZRYmZYM21EcUVFNjBpUmRIRkVLYXVUejZXWVdrWmxaQy03UnN0WjVENkRnWXJOeW1HbUlWUmhrZ0ptdDVUeDJ0S05LakNVS0pzRXRQUi1iQkpkWmdLYnRyZW9CSk5VMGdiLTZGMV9lWWlkcUQ1ZHdCaWJ3YWFqYjFldW5pZVhwS0tnWVJIOVFfUQ?oc=5,caracol.com.co,Alianza Verde,Neutral,,caracol.com.co
10/12/2025,Uribe calificó de utópica la consulta que él propuso luego de que Abelardo de la Espriella y Sergio Fajardo descartaran su participación: “Me preocupa que no se logre”,https://news.google.com/rss/articles/CBMi_AFBVV95cUxQbHo0MzJabFRHV3JCVVFQbGIzckU1UUdpSS1MYkIwUDM3SzFsNGFmN0RYTHhzbmY1ZWFONndLR3pWUXlraVRTMDBqU0hsNzFuQmZDNG1neU9NN0VXM1FqWWZMR3dSZ013UE5QWWc2ejlQdjRtNVZEMUN2aUo1VHdsUHZLV09KMzlCZ1M2OUU5MWVoVmw1RnF6cm1nRHNjNF9EeTBlei02d19BOXJ2OHBCRXZoeW1TSS1nM2lHN2M2dFBscWJCend1RXZCT19FS3E2VUw0dXA3Zm05UHhzamxoSE56Z1BVa0tMcXZaX3B0RncyR2R3djRxamExYU3SAZcCQVVfeXFMTkpERnZ5ekR4V3dNSDJwdVpjZlQtWnU3VEhxbVBHQjhNVFlUNTUzN3Bza0xPckpLYTNUdzZybEh1MUxlZHZYNFBNZ0lhZkxlSktCVy13MGlCTjBlWlBQaVJCQVVuMkgteUpiTkNvMlZ6WWxJbkhfT2pJZ1p1MUVmX1BWZFcyQ1JNV18zWjQ2dElySkVqTTFVZWk0SkZ4MHNjamwwQXphRHRvR0tNWEZWbzJhVk5TR2ZGMHFSSm1SZ0loQjdESWRfYVZkdTFYWFNtN1FQaGRKZFhFZlRZXzZGQW96QjVaa0FHQlFVYXRMWXVJOXFSOGl3Vms0NDQ2S19PMXdFaTNGVkZSaHk0cFVwWmxoSGFQSWo0?oc=5,infobae.com,Álvaro Uribe,Neutral,,infobae.com
10/12/2025,Álvaro Uribe abre la puerta a que el candidato de la derecha no se escoja en consulta; esta es su propuesta,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNMHNiemZxSGNSMVljR0hiV25McjVkYWZFX1BERDdqUmNCak1qaC1Qd3E3MFRHb1dlN3VLRW52bXJCcFhEem9rTFR2NjRuWVdJTUFpaU43MXV5bENhdl9zVEhTVFluRHJNdDBWVUZJNmsxN0h3YUUxa2xNZ1N1NXpFMmFPa01DYk9KdHBmUmlqdzJjQnBXSUtCcFgxejZCMjlIbjVKaWN4RFFrNDlzNmJTdGQtTmdSd19Ic2h4UjVjcEJiay01eWs0YW92c3RXSVdlNDJqSy1HSGR2Nk9BbGVJMW12T2JqWkhrdldn0gHwAUFVX3lxTE9yLXNoZ0Z3MmpWemFaMWF0SU1LZVNkcGpSOXZWeC1obGpXaDJiTWpWdDBNMEppSlFqeEh2UjlLaENqMTVTaTNPdVJuMGc5RXNZbEd4TzlKZmtVYUdxSXF0eDlWY0JuQnM1allhLWdoOGNfN1hmQkpZdzlrYk9Ma2ctZ2JlZ2hZTENMNFFFVDZRSXhLX1ZZNzZodDFRMk4za0o5dk0zTUl0N0V3bTFFbUZGTURtcTFlN0R0MkRjUUhNdnpHNWtsbG5UaUhGWnlfQjBJMmFWang1WURmVmsweWZjQmd6a2FpWmNiel95SmZRaA?oc=5,semana.com,Álvaro Uribe,Neutral,,semana.com
11/12/2025,Entrevista Álvaro Uribe Vélez con Néstor Morales en Mañanas Blu,https://news.google.com/rss/articles/CBMipAFBVV95cUxONUZaZ2dyejUyMDEwaU5mU19ObGlSc0VEU0JPUGJGN3RsTzJkUWJQdEwwTEVzaHN1RTFIR0dXZDdSYTUwemdiY3AwM2h3QWtCUUx2TEtPX3pjVWl2Q2xOU2F6MEJmMHBmLXZJcGVrc0JLR2ZRYVNkT1U4cG5pLW82UURJWHl1Z3JqYldLbHNKZFFNT0lCaS1kZTREdUQteVFEVGdtStIBsgFBVV95cUxQZTNIc0xISy1GR25uMmoyeHE2cGhGX0dPU0VUNDJFeldWaVlCcExNOFpLRzFjOVZldlgyOTBpNWFFeGRUMFdFeHczZ1NwdU9xaTNEUkVSZVROWWdEdzlpNmZXQ0M1WjhoTWY0V3lfMkpZN0tBaUJHTmQweGFWNXQzY3czWjhmeENKeldBUzFsaV93bUpIMFdJelJhTzJBZmI5NUZzaHBQSmUzT2lwMWpxUlVn?oc=5,bluradio.com,Álvaro Uribe,Neutral,,bluradio.com
10/12/2025,Montaje tergiversa un discurso de Álvaro Uribe para atribuirle frase sobre subir impuestos al pueblo y beneficiar a los empresarios,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPS3BBdUw3bVUxdVhUSGRvQmZEcnBpM1JqUHlZRk1VYnplRll6WEZyTnN3NDZ5RzJQYUpKWk56cVVhZ1NmdGg5Q2t3R0ZEbEN6cHhMbVhLdG9td0tqWW4tLXV4QnZPTlFEMzJmaWtvXzRKRVVrRlJzNUVEcFVzdFY3TGtJY1BuZ3dWWUdYdzFyRHdXSVdoa3l6alZZaUttZmVIZnRldmg0ZWFXUVhyNGplQnB6Sm5CeXdBczZDOEVnTnNMcnc?oc=5,colombiacheck.com,Álvaro Uribe,Neutral,,colombiacheck.com
11/12/2025,¿Cambio Radical está debilitado en el Atlántico de cara a la próximas elecciones legislativas,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQenhQeWt3Nnh2UkpyZnh3YThkS2ZFVFYzOHFKU0ZxTThUbnE1by0wVWVEdEl6MkxtQ2hXdURIV1hFdl9VMWtXWDRQam5nQnpSNFRKQTA1QUlaRnlYanNBT1ZoemxIVER1WHBKd3dlNWxidWVMc1l3ZWlFQmYxVVY3N01QM2dQamhJdHAzUFlkNlNNUTNHcUh3MlZtbktNZjhsMnlUd1pmLWwybkhfcmlHVEFZbFlKS1BQMDhrc0haNDdoT2gtUVZCczNwTzNobk9HQzJGY2Rn?oc=5,diariolalibertad.com,Cambio Radical,Neutral,débil,diariolalibertad.com
10/12/2025,Influencer Felipe Saruma entra a la política con Cambio Radical,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNS0RuTi1NWW52ZU5zcllHRVMwNjNaSDEwcnVfTUFXZGlFak5LODNSdGVuLU04NUh3XzhSRTAyU3BBQkl4a0stNmlIcFJmRHhpN1NJT3Y0Z1BTWFlUd1E1Q011MDZvV0N3bFdOSEV3VE9VeWlHODZGVW43MXc2dmhWYW9jcmY2dlBueEJqS3dEVVJPalU5SkR6bFotSnVQUWFHZ2w3VmtBVmlGV28?oc=5,elnuevodia.com.co,Cambio Radical,Neutral,,elnuevodia.com.co
10/12/2025,Iván Cancino cuestionó a las altas cortes tras negar recusación en el caso contra el exgobernador Camilo Romero: “Cosas que solo pasan en Colombia”,https://news.google.com/rss/articles/CBMimAJBVV95cUxQYmNHYl94dVlRcTJCN0F2NTBaNjN1aFVlaEQ3UTg4bGNTc0dacmh3cndRemVvam9mMGtEUGllZVZIZ1lSQ1d6MDBzRktneXJ4bDFpNlFoY0NfMFJXdDY3TUV4UUc3c2kyRnBjOXFVNFltT3B1R0ZXSGRpT0VMUGNqcVlqMVZVb2tyZDZjcGU2NmZmek9Da2FRZkYySmR6NTBQUWo4eDhkOWNFWGZiSDQwSV9GX1hOTFlUcXVQcWJlZjYtRFB6SkpIeVpYQS1ZZFYwc1VCeC1DVmVjVDM2S1ZKMktYcXJ0Y3pscHBISU80MWJhcmhuYUx5SjN2YlVRLUZaRXlBUF92R1hBOEdvemJwcTdEVVFPeFc10gGzAkFVX3lxTFBhNGY2VVpfQjloTXA4bjl3TVlZMG16OW5EQXFOY3kxMVlCZWZDOEFJLWRPTHV5NElycndTUTY5eUFCRVl3aXpGSVlSYjFLeFRxS1lWQ2ZnckhaOUo0YWo4Sm11TnFKd0dHcUJrcmVPdTRqeXd5aUk1WGZLczNXNE9qcEd4NkRDYWc2MGRJMlJnODkzakpLWnJTU2JPWDZzZWN3d2RLdEtLdHdqMjlHT1FsYnc2eWZITFVVQW9EWXMtQzN6QTJDeVBERUpxbWViWmhFMDlPbVhNUndpbmljRnJxZUtDQ1R1aHdDcFIwdDAzdG53VUI2R1ZOUGhCMVBBbWtJVGVYYVEybmtiMnkxdWZrQ3RUTFFjQ2VLVVUzUGxiVHpXcmEtMGQwY3k2VzFRY2ZqNjA?oc=5,infobae.com,Camilo Romero,Neutral,,infobae.com
10/12/2025,La puja por la definición de la candidatura presidencial del Partido Conservador que abre la inscripción del excontralor Carlos Felipe Córdoba,https://news.google.com/rss/articles/CBMiswJBVV95cUxOX05VQlF0T1E1bFBxY3otQ2pWWWZwdng4WlNxQzFfOTRzWW0zRjFVbnNtR19pcE0wN1h3d1BZbHRVZjNaU1hyeHIwTEM2LXA4UWhNV2JFRU9ubmF6Z1NKWGNCMUF4RF9KSkFDNHI4dHRJVjlWRE9KY1pUWFd3RTBSMGxfYktDX1NFQndCMWEzZl9tajNCcGZmLTZHRXd4UlRBT3pWWm1XTkxxRDROSnpzXzMtTTloZEJaTUVhdUFEekJkMWgxNGlmT1VvV0FZNUhGQU5MNHdhWjI4a09PMzZXX2Y5ZXEwQmk1SkZvcUd6VEpVVm00cDRfRnAzdTkydFV0RGtYVWZYVGhDUVZ0YkUyTjhDbGFhM3VKeXYtT29NZkxJZ2k1WXNla2ZOUlZvT3Z3YUNN0gG4AkFVX3lxTE90eFRMeVE2ZEY1ekZ2cThkQXVmQWV6ZkF6UFVPa0xvOVExUXhvS1VVcG02UGN5ZTF5T0xUekRHeWtaVzg4QnZXNVRQWnpXVFZtdXQzc1lfeDVHbGVJWmZYRnBQQmFzSUd6UUxUaWlSUDhiamFUbHpfREFvQ0MxWVFCVjBXdnJ1R2ExY2FtMXBjRTByaWZtdHg0a2lMSUN0YUdLQklVaVFXZ2RSY3c0UjRWQzMzUmhmME1nbW55Sm5tV2luZEZfclVEUF9HWWNBVk5EUko3MlNrOUM1Ukl2M2pyWUlVbjlSU1A0Ym92aVV4WEpZamNYUG9jVHNCeGNfZDQ4eDk4Nmh2UUZ0WHd1ZFRUMVpCOVlQbDdwbXQ1cnlNSkMtbWZHZzhXTFlGUkE3Rm56UkNiV3c5Vw?oc=5,eltiempo.com,Carlos Felipe Córdoba,Neutral,,eltiempo.com
