Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Dominio Limpio,Departamento,Autor
20/01/2026,Iván Cepeda lidera encuesta de GAD3 seguido de De la Espriella y Fajardo se desploma,https://elnorte.com.co/ivan-cepeda-lidera-encuesta-seguido-de-de-la-espriella-y-fajardo-se-desploma/,elnorte.com.co,Sergio Fajardo,"['nueva', 'seguido']",Negativa,,elnorte.com.co,Atlántico,
20/01/2026,Ponderador electoral 2026: la foto de las presidenciales arrancando el año,https://www.lasillavacia.com/silla-nacional/ponderador-electoral-2026-la-foto-de-las-presidenciales-arrancando-el-ano/,lasillavacia.com,Sergio Fajardo,,Negativa,,lasillavacia.com,Bogotá,Pablo Manrique
20/01/2026,El centro busca alcanzar al petrismo y el uribismo sin caminos definidos,https://www.elespectador.com/politica/elecciones-colombia-2026/claudia-lopez-y-juan-fernando-cristo-arman-coalicion-en-el-centro-buscan-a-sergio-fajardo-noticias-hoy/,elespectador.com,Sergio Fajardo,['definidos'],Negativa,,elespectador.com,Bogotá,
20/01/2026,"El centro busca su propia consulta: Claudia López, Cristo y Armitage abren la puerta",https://news.google.com/rss/articles/CBMihAJBVV95cUxNWGc1dUdtREpkMHFCeTBnMEgtVEZMT0JXMzVWbDlvMHJyczFtdGh0NkVsVGpsamVzTGhVWGVibTFJRTN1Y1FBdjNzcl9qTWgzemxJdHlVMk1UWXA2dE9mQ1ZvQmpmMVgzMWdUQk5UbkdDaUNFWnNSRDFqcXpLa01yWGg5bGFqSzZ5NXI0a2ZKRF8wZ3VlU0tFcDJaSXdrUF9yM0xYQzRNUlVQdlMwYnV2a2ljaWlIQkJFcGR0SDI4NDJBV3NOTEFFbWZXb09BaUNIOGVFRWNDSUY1TDlELTVyOVVwMTlUTXpYS1RxaHRSUXpSVlBxWnZPbDJMdld6akxYVnk5cNIBmAJBVV95cUxQSS0xMnl5MWdlNmt4WDMzMkloZXp1V290b0haS1hDcGdlLV9DQWsxTTQ4ZHJ4VUVpUjR5dGhpbGkxTFE2MnBlNFRSSUhQTVQtaDBOSUhqX1RYNGc5QzVpMFU0OFdkUTJGN2paWU1HdzVyOURJdW1iYW9XeFYxTGJoYzkzT01CVGJqN2VCR0FxSmpQU1ZOXzlvYTU5V2JnYlczTUE5RUxUdDJpOVhfaEZnanIxc3ljWEp6NW1yZUF5M0F4cnFhTTVFdVU5dXZUbzhOa1ZQeHcxSllzYy1MX1lmdEt0WVhrSDFkU1JOejZuZ1NuTVMzY20xSHByaDVXLTZxaURISG5DMUU2OEFyZ0FzSDJuNXh1VW9o?oc=5,elespectador.com,Sergio Fajardo,[],Negativa,,elespectador.com,Bogotá,
20/01/2026,Abelardo de la Espriella respondió a Donald Trump Jr. tras afirmar que la izquierda se estaba radicalizando en Colombia: “Tu padre debe poner a Petro en su lugar”,https://news.google.com/rss/articles/CBMiqwJBVV95cUxORGdrb3BqODFHbWhOdnVad0gxLUtDNFRxQlBkRFk2c2MzNFBnT0dKZWVncXJwREpFTDlVQl92MWhCQTYzN0JKSjRwSHVESlJ1OWVWbHBmekcxRlZ3cm81OERrRlZ2dzNZRjVjMlN4blp4WnZIMnM5Mk8xMGZ1U3pJZ0VVYlpmMTc0ZDRoSkI0TDF6ZG1xUGh6cjJvS3JPX1hLMXVqQUgwM3h5cmxhV1d6VHgzZ1JZc2dqTlVZbTZKSjMtd19tcUtpWjFqQklNV3N2a2RlS2xsT0d2ZzJVQm9FOWZlSkJVS0hETG52dHVZY1hUN0RGWE11a3J6RnBSTmNWNTJRaU5KU3NjUmYzX0VQU2ZvMVkzOFY5MzQydXJfUnJDNWVGejFDSUthRdIBxgJBVV95cUxOMUdnbWJjM3BGU2lRZEs2bmd2RG9rTmhKdmpxd290dmFsQkdINkJjWUc2OTc5LXk1VWF6bGN2WkNNSXdUaTlYY1JYZG80SEhqQ2NpU1NWSFN4ekxiOTluQmtuUVhPWFFDYWVldWl1bW0tM3BOODZlNWt4TlR3eFp2V3g0c29HcWhoa1Bpdm53bGptZlBGRmpUZG56WlRDMDRfSDVxanJ4V3JFZGpGZERkYlNpLVFrWTdBQ0Y0NEZPNmRRQk1IdjYyN2RDOE00U0Q2M2JsMnBSX1pjQjd0NGxTeEFTcWc2Nmp6S0VqbVdheE5QWWxNRERfNmVvdkRRdjJVMFNpdHAzNGNrZlh6TDJhOU5ITXFFbWwyVUd3YWJpU0ZNQjNIZV9mTk50cC1ZOTRpVEhZREFhbW16a1R2M3lRVkkxR3pDZw?oc=5,infobae.com,Abelardo de la Espriella,[],Positiva,,infobae.com,Bogotá,
20/01/2026,El silencio de la SAE ante grave denuncia de reunión política en uno de sus predios en el Atlántico: eran simpatizantes de Iván Cepeda,https://news.google.com/rss/articles/CBMingJBVV95cUxPVk1MakZBM2RheE1EcVY4OEdPazBUcjlHNlFFdVUyRTNOSHI1NlNuT3o2Y1V6QTAzeEpva2lKeklVTDdMdzdaVU01RjRVOEltRG5sbjlCaHJUX1JwTkxZV1VHUjRjYjdybUE3RklWWG1wc3ZkZHNQdndmNXRJTUNEYnBMLWZ4WW5NWGZmOXd4cWRKNUJHMW93X204MGZiaURWVHdLMldpTDNOTnpHT0hSZjZjMFpWYnloTUpBUDZ2TWxKMHdRWU5YNTdXUDZiLUdraWZKZ2RVWWZUVDRuMVh0aTRYNzhfWnl0eXRBajNVT1FMSWU1c0Z2RlBRVGdKY1h4cklxeUNrT3VmY3NNZ095ZzNjVlBtOUJrZExPMzh30gGjAkFVX3lxTE1NaDV4alFlYTRmVUNQNWRmZ1RVWVZtemJHdzNRVTBIZER3UThvTEdPakllR0JCeWJZQ0ZVQ3o5MnZwRzExWEtuc01tcEY4bXB2WGt1YTktZ0lSSk1uTVZ2XzJ6aTl6TUF0SzhPb2FZYXhZU1FweDczR1MwaWdNdGZLZ21CVHpncFoxcHkxQXMyNTQzTFFBV1JRV0hTSFVlVEQ5ZVE2X3FGQnhWOEwteHRNWDVoWEY1R19TYzVkYmlNSVF2c1RuS3lqZVJEakRJUEh5TUZma0dQUkU5dUpSeldHSTdDMHZkaU0teGR5WUlqVExGRVFwUnNOR2VPaGJ2NGNLVS1ueDNsX3IyaWJmVVNUZGhTVVp0cTZiQmU5bnh3R2pIdw?oc=5,semana.com,Iván Cepeda,"['grave', 'política', 'simpatizantes']",Negativa,grave,semana.com,Bogotá,
20/01/2026,Vicky Dávila pide a los candidatos a la Presidencia revelar su estado de salud y envía un mensaje a Iván Cepeda: “Vamos a decirle la verdad al país”,https://news.google.com/rss/articles/CBMinwJBVV95cUxQLXJudG1QUnhNTjg2OUlHenNjOXdINHF5cF9jQ1B4Zk4yUE5aWTltQk1fS3lOenBCbk9NNWIzdGdKSnRVWC11Q0w3LXpnZ3d0ZlRWWVdjZk1UY1M4d3dwX0djQ3ZtZ0hqaDRxVWtfczFaYVFqVkE2UGh3SlZUa0ZLT0h2a3JNYmwwczdfMVdHUEcyMGNJald6RHVDMFVWcVdQRFdBY1VTMWdfWmRtU2p2dmM4ZHllRDJfMS10aENHMUc1RFFfWkRyb0xIdWUtLTc1MC01MGluaU5KMXhiX3k0YWIzZDUyU21acVFDd2QzaEMta3FmeE1GVVFJNTEzZHBXMV93bUVESFpmSWpnNlpkT01oM08yTjNTemwtdFozVdIBpAJBVV95cUxNVV9WRnA2U19XdGg5N1Nla2FMSUNobTRkdldRZEhFSlNycjVEMUFUNWhld2hGUExmdXR0VUtWcDZyeVUzYldUOE11ZXF1bDYyVzRVUlh1MnVYSDJrdVZTNTJhRE50dGlDYUxsbl8wT184Y0Q3S20wMm5jZzZfM3pZOUVqVzJNdlphV2RsTmQyNUdZanlDVDlvYmg5TWNrd190Smd2Nm9LYURzQmo3LWI3dlJNd2Q4YldRWUVkcjFtb0pqSHVaODhUNkxKWXRVT2RuY3RVVTJLZUcwRHhJUkd6MHVVWDkzQ2FWMGE3UnIza3VnNjlHRl9OSmhPWVh1M1A2R3A4YXhMTHQtQWNmYVBfNXpOOXhTeWpXYVp2OWVhaDRGTnhk?oc=5,semana.com,Iván Cepeda,[],Negativa,,semana.com,Bogotá,
20/01/2026,La candidatura de “los 3 ivanes” por la que Paloma Valencia criticó a Iván Cepeda: “Sería el verdadero sucesor”,https://news.google.com/rss/articles/CBMi8wFBVV95cUxOeW5TNXRua2V0ZHFORVBsQjIySkJPM2ExX2FPN2J1ODBJd051bTdFdlp1UGhjWF9DdVVtUHJBWUlYX0x3eThVNGY1d01fUXVsY28yWWlNNV91UExvbkEtMG9fSWh4X1pfQTRpRGNVYXFieGJpVHVQQ3hoQWJpQl9vVERHdm5XM1BUbGRFUDlnT1JSLUQzREJqLWVWeXdnUFBmSlc3ak5NelhrYm5RX29qSFg4UlFWSjZEOVAzUXZBSktZS3ZLQW5veDc2Y1dzT1FhaTlpREQ5RnFZQ3FSWTlIVmt0MWFRSDBCUm9TR21YaEZGQWvSAfgBQVVfeXFMT0h4MHhiRDJvTWI0emptTk0xckM5ZHNqckRyUTFDck9OLWoweTdMRzlwWnNCQjQwbmZBMS1uUkh5SlRPTWMyUDlSYTVCS19MS3IwOV9UaDYtZnF4dDdwMUlJTkVvcnJMZDE1VE0td3M2X1M5S25kNjdJSmNpSkNURVlURkdBcndfd0ZUZ1VRck92QkxudV8tdEZhc0lDanJNS2MyWkMzc1ZmRW9oTzExYVd4SzJUQ0U4TmxiZF95VWVRQVZ0bkdmUDZGTFJ0YlU4elVDQXFHU1hoT3ltWVVTSE14a29pR21WSDJuY25YWHAxYmFTSThlWU8?oc=5,semana.com,Iván Cepeda,"['”', 'verdadero']",Negativa,,semana.com,Bogotá,
20/01/2026,“El populismo radical está unido en torno al heredero de Petro”: Abelardo de la Espriella sobre encuesta en la que gana Iván Cepeda,https://news.google.com/rss/articles/CBMiiAJBVV95cUxNVnhiYmVwdjZiZ3BBRUxMTzZFU0JILVgtVU9fOXY1VTduRkJLM2NDVE1qVGUtSzgzTUNnZi1oblVOVW42bDR6eDFZZlBScDJudDN6MzJCZHViamdnVW4tMC1XWmEtM2luaVc3MFExVWVnVE1KbjRyRjFpdVNVMzJBVmp4WDRJNFRFMFQ0QXAyemluRXk2c3Qza3g1SVljQmxsRTRveTlOanRVR2czbVlGd0pRN3pkczRhWDdVQmVyZXZCZGM2YWJzOU50MHRYWUlOQXNPT0FVZGpxZHQ2QmRrdDMxaFJRSks2enBwelpyQVpLSENFVndxQS1scl9hUHlYVFFUQ2xOT2LSAY4CQVVfeXFMTWp6bWJQU2VnZ2xUUjloNXhHdU5yXzkzQm9TeHp4aUt5d1FtRklhdVJnRTZhX2lJd2UtZ0k2dFhVSnR0Ykhfa3pmR2p0VFNsdUJwaEtYZEpOU29IRmNkaktVUzdvdXRkOGE3OUpPelpOMDVZb0xXcHJfMkhPdjVlXzhDcXlyMVZSX0JaVWJ6OUkzT1pjWHR0MV96SWxvazVtX3FyZkpzb0Jzc09PczRicUxzWnFhX3hDeFF6Q2t1ZUFLVjVBWXJvNXd6Z2tFc0xmbFR2UHAtYXViUldhTHdoR1dpcmFhLUpBQ3E3Y0NKSmF2MlN0WDdDV1BPLS1MbjZfMTh3WGxnVGIwQlJUUzZR?oc=5,semana.com,Abelardo de la Espriella,"['radical', 'unido']",Positiva,,semana.com,Bogotá,
20/01/2026,"Sesgos, estimaciones y preguntas: los reparos técnicos y académicos a encuesta que da como favorito a Iván Cepeda | El Colombiano",https://news.google.com/rss/articles/CBMiqwFBVV95cUxPakhOQ0ExVUhFX2dUQzlESjh0bno1YjVySEJ3cmMwdklCSVE2RGZCc2VXTXJtcmthd2pKX2kybkdtS0dKV240YzVzOTVjS1VyZWRoNjV5WW9Gdk85SmpENjRsLVJHWDk2bUdYMmtMXzctZjhESG1ORlZETUpZVGh6U2JKS1dYeDF6bU85cHR4d1VuOERycXVaZkxPTkpXbk4wQk1FZTU4UkVjcjDSAbABQVVfeXFMTWVmbFpGWnZJcUg4eWtwdDJtTk5iZF8zXzBiSDRTUE9wZkZRU2dhWUZWRlR5YUp3bG5mQkROV1dPOUlPd1ZXa0MtR2Y1SE5vUGY5Z0gwYjUzNXgwcGhRUDF6UUtfNXVrakV0SHZIUHlMRGNpWVhaanpGMVFPZEpEcHRacnE0cENja0M3b0EzbE95UUhFR0xyaGx4SnNDaHV0dkNqY2hESnNTRzRleUk4U3M?oc=5,elcolombiano.com,Iván Cepeda,"['técnicos', 'académicos']",Negativa,,elcolombiano.com,Antioquia,
